Image_Index,Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks
00001,001.jpg,15,7,5,3
00002,002.jpg,7,3,3,1
00003,003.jpg,6,1,4,1
00004,004.jpg,5,1,3,1
00005,005.jpg,10,2,6,2
00006,006.jpg,12,5,6,1
00007,007.jpg,11,5,5,1
00008,008.jpg,10,7,2,1
00009,009.jpg,10,5,4,1
00010,010.jpg,10,2,6,2
00011,011.jpg,8,1,6,1
00012,012.jpg,7,2,4,1
00013,013.jpg,10,3,6,1
00014,014.jpg,12,4,6,2
00015,015.jpg,13,6,5,2
00016,016.jpg,6,0,4,2
00017,017.jpg,10,5,2,3
00018,018.jpg,9,3,2,4
00019,019.jpg,13,3,6,4
00020,020.jpg,4,0,3,1
00021,021.jpg,7,2,4,1
00022,022.jpg,11,4,3,4
00023,023.jpg,6,0,3,3
00024,024.jpg,10,2,4,4
00025,025.jpg,4,2,1,1
00026,026.jpg,11,7,3,1
00027,027.jpg,9,7,0,2
00028,028.jpg,9,6,1,2
00029,029.jpg,10,7,1,2
00030,030.jpg,9,7,2,0
00031,031.jpg,6,4,2,0
00032,032.jpg,11,7,3,1
00033,033.jpg,7,5,1,1
00034,034.jpg,6,5,1,0
00035,035.jpg,5,4,1,0
00036,036.jpg,3,2,1,0
00037,037.jpg,3,1,1,1
00038,038.jpg,7,6,0,1
00039,039.jpg,4,3,0,1
00040,040.jpg,3,2,1,0
00041,041.jpg,7,6,1,0
00042,042.jpg,7,5,2,0
00043,043.jpg,6,5,1,0
00044,044.jpg,6,5,1,0
00045,045.jpg,8,4,4,0
00046,046.jpg,7,5,1,1
00047,047.jpg,7,6,1,0
00048,048.jpg,2,0,2,0
00049,049.jpg,5,2,3,0
00050,050.jpg,10,3,5,2
00051,051.jpg,10,6,4,0
00052,052.jpg,5,3,1,1
00053,053.jpg,7,6,1,0
00054,054.jpg,7,6,1,0
00055,055.jpg,6,3,3,0
00056,056.jpg,4,3,1,0
00057,057.jpg,3,0,3,0
00058,058.jpg,3,2,1,0
00059,059.jpg,6,5,1,0
00060,060.jpg,6,4,2,0
00061,061.jpg,4,1,3,0
00062,062.jpg,4,1,2,1
00063,063.jpg,4,3,1,0
00064,064.jpg,3,0,3,0
00065,065.jpg,4,1,2,1
00066,066.jpg,5,0,2,3
00067,067.jpg,5,2,3,0
00068,068.jpg,3,1,2,0
00069,069.jpg,2,1,0,1
00070,070.jpg,5,2,2,1
00071,071.jpg,8,6,2,0
00072,072.jpg,5,0,5,0
00073,073.jpg,4,0,3,1
00074,074.jpg,4,3,1,0
00075,075.jpg,1,0,1,0
00076,076.jpg,2,0,1,1
00077,077.jpg,6,4,2,0
00078,078.jpg,5,3,2,0
00079,079.jpg,8,6,2,0
